country,full_name,Symbol,Activity,Sector,first_obs,last_real,n_months,avg_mv,cluster,keep
FR,Euronext,F:NXT,Dead,Investment Banking and Brokerage Services,2001-08-01,2008-06-01,82.0,5095.00265060241,1,True
FR,Havas,F:HAV,Dead,Media,1996-01-01,2017-12-01,263.0,1903.577803030303,0,True
FR,Havas,F:HVA,Dead,Media,1996-01-01,2001-11-01,70.0,6211.737605633803,0,False
FR,Jacquet Metals,F:JCQ,Active,Industrial Metals and Mining,1996-01-01,2025-12-01,359.0,301.99805555555554,0,True
FR,Jacquet Metals,F:JAC,Dead,Industrial Metals and Mining,1997-11-01,2010-09-01,154.0,61.76729032258065,0,False
FR,Legrand,F:LGR,Dead,Technology Hardware and Equipment,1996-01-01,2003-10-01,93.0,3837.448085106383,0,True
FR,Legrand,F:LRRS,Active,Electronic and Electrical Equipment,2006-05-01,2025-12-01,235.0,14192.713262711864,1,True
FR,Millimages,F:MIL,Dead,Media,2011-02-01,2013-11-01,33.0,2.216176470588235,0,True
FR,Millimages,F:MILL,Dead,Media,2001-07-01,2011-01-01,114.0,20.73078260869565,1,True
FR,Orange,F:ORA,Active,Telecommunications Service Providers,1997-11-01,2025-12-01,337.0,45252.67828402367,0,True
FR,Orange,258493,Dead,Telecommunications Service Providers,2001-03-01,2004-05-01,38.0,39067.554615384615,0,False
FR,Overlap Groupe,F:OVG,Dead,Software and Computer Services,2000-07-01,2013-07-01,156.0,36.112675159235664,0,True
FR,Overlap Groupe,F:ALOV,Dead,Software and Computer Services,2005-12-01,2008-01-01,25.0,18.965,0,False
FR,Rexel,F:CDME,Dead,Industrial Support Services,1996-01-01,2005-03-01,110.0,2977.1594594594594,0,True
FR,Rexel,F:RXL,Active,Electronic and Electrical Equipment,2007-05-01,2025-12-01,223.0,4453.098258928571,1,True
FR,Risc Group NR,F:RSCN,Dead,Software and Computer Services,2007-12-01,2009-12-01,24.0,60.263999999999996,0,True
FR,Risc Group NR,F:RSCR,Dead,Software and Computer Services,2011-04-01,2012-06-01,14.0,18.774,1,True
FR,Safran,F:SGM,Active,Aerospace and Defense,1996-01-01,2025-12-01,359.0,23146.341,0,True
FR,Safran,F:SAGP,Dead,Aerospace and Defense,1999-09-01,2000-04-01,7.0,5464.305,0,False
FR,Sofitam,143588,Dead,Unclassified,1996-01-01,1997-01-01,12.0,408.8276923076923,0,True
